,Mes,Casos,Codigo,Descricao
65,2019-06-30,16156,7,20-39
66,2019-07-31,2768,7,20-39
67,2019-08-31,665,7,20-39
68,2019-09-30,536,7,20-39
69,2019-10-31,427,7,20-39
70,2019-11-30,579,7,20-39
71,2019-12-31,1100,7,20-39
72,2020-01-31,3241,7,20-39
73,2020-02-29,5221,7,20-39
74,2020-03-31,7015,7,20-39
75,2020-04-30,7121,7,20-39
76,2020-05-31,4690,7,20-39
77,2020-06-30,2088,7,20-39
78,2020-07-31,1102,7,20-39
79,2020-08-31,673,7,20-39
80,2020-09-30,542,7,20-39
81,2020-10-31,458,7,20-39
82,2020-11-30,660,7,20-39
83,2020-12-31,869,7,20-39
84,2021-01-31,934,7,20-39
85,2021-02-28,1142,7,20-39
86,2021-03-31,1934,7,20-39
87,2021-04-30,1571,7,20-39
88,2021-05-31,1159,7,20-39
89,2021-06-30,679,7,20-39
90,2021-07-31,337,7,20-39
91,2021-08-31,270,7,20-39
92,2021-09-30,279,7,20-39
93,2021-10-31,295,7,20-39
94,2021-11-30,517,7,20-39
95,2021-12-31,889,7,20-39
96,2022-01-31,3559,7,20-39
97,2022-02-28,15739,7,20-39
98,2022-03-31,33069,7,20-39
99,2022-04-30,46098,7,20-39
100,2022-05-31,52232,7,20-39
101,2022-06-30,36809,7,20-39
102,2022-07-31,9488,7,20-39
103,2022-08-31,1969,7,20-39
104,2022-09-30,820,7,20-39
105,2022-10-31,722,7,20-39
106,2022-11-30,684,7,20-39
107,2022-12-31,817,7,20-39
0,2014-01-31,1274,8,40-59
1,2014-02-28,2300,8,40-59
2,2014-03-31,3063,8,40-59
3,2014-04-30,4053,8,40-59
4,2014-05-31,2569,8,40-59
5,2014-06-30,897,8,40-59
6,2014-07-31,252,8,40-59
7,2014-08-31,115,8,40-59
8,2014-09-30,115,8,40-59
9,2014-10-31,144,8,40-59
10,2014-11-30,192,8,40-59
11,2014-12-31,277,8,40-59
12,2015-01-31,1402,8,40-59
13,2015-02-28,2461,8,40-59
14,2015-03-31,7484,8,40-59
15,2015-04-30,15799,8,40-59
16,2015-05-31,13101,8,40-59
17,2015-06-30,3630,8,40-59
18,2015-07-31,854,8,40-59
19,2015-08-31,320,8,40-59
20,2015-09-30,254,8,40-59
21,2015-10-31,371,8,40-59
22,2015-11-30,1044,8,40-59
23,2015-12-31,3127,8,40-59
24,2016-01-31,16132,8,40-59
25,2016-02-29,35919,8,40-59
26,2016-03-31,40869,8,40-59
27,2016-04-30,32061,8,40-59
28,2016-05-31,9563,8,40-59
29,2016-06-30,1178,8,40-59
30,2016-07-31,223,8,40-59
31,2016-08-31,121,8,40-59
32,2016-09-30,108,8,40-59
33,2016-10-31,118,8,40-59
34,2016-11-30,207,8,40-59
35,2016-12-31,1031,8,40-59
36,2017-01-31,1123,8,40-59
37,2017-02-28,1047,8,40-59
38,2017-03-31,1289,8,40-59
39,2017-04-30,943,8,40-59
40,2017-05-31,696,8,40-59
41,2017-06-30,336,8,40-59
42,2017-07-31,151,8,40-59
43,2017-08-31,101,8,40-59
44,2017-09-30,119,8,40-59
45,2017-10-31,136,8,40-59
46,2017-11-30,123,8,40-59
47,2017-12-31,265,8,40-59
48,2018-01-31,491,8,40-59
49,2018-02-28,556,8,40-59
50,2018-03-31,1202,8,40-59
51,2018-04-30,1901,8,40-59
52,2018-05-31,1088,8,40-59
53,2018-06-30,424,8,40-59
54,2018-07-31,196,8,40-59
55,2018-08-31,107,8,40-59
56,2018-09-30,112,8,40-59
57,2018-10-31,173,8,40-59
58,2018-11-30,325,8,40-59
59,2018-12-31,758,8,40-59
60,2019-01-31,4236,8,40-59
61,2019-02-28,8647,8,40-59
62,2019-03-31,20329,8,40-59
63,2019-04-30,37107,8,40-59
64,2019-05-31,38386,8,40-59
65,2019-06-30,9942,8,40-59
66,2019-07-31,1540,8,40-59
67,2019-08-31,362,8,40-59
68,2019-09-30,251,8,40-59
69,2019-10-31,239,8,40-59
70,2019-11-30,310,8,40-59
71,2019-12-31,676,8,40-59
72,2020-01-31,1990,8,40-59
73,2020-02-29,3307,8,40-59
74,2020-03-31,4485,8,40-59
75,2020-04-30,4957,8,40-59
76,2020-05-31,3073,8,40-59
77,2020-06-30,1224,8,40-59
78,2020-07-31,685,8,40-59
79,2020-08-31,389,8,40-59
80,2020-09-30,377,8,40-59
81,2020-10-31,308,8,40-59
82,2020-11-30,382,8,40-59
83,2020-12-31,542,8,40-59
84,2021-01-31,581,8,40-59
85,2021-02-28,941,8,40-59
86,2021-03-31,1362,8,40-59
87,2021-04-30,1046,8,40-59
88,2021-05-31,707,8,40-59
89,2021-06-30,417,8,40-59
90,2021-07-31,166,8,40-59
91,2021-08-31,133,8,40-59
92,2021-09-30,143,8,40-59
93,2021-10-31,128,8,40-59
94,2021-11-30,229,8,40-59
95,2021-12-31,469,8,40-59
96,2022-01-31,2301,8,40-59
97,2022-02-28,10540,8,40-59
98,2022-03-31,22635,8,40-59
99,2022-04-30,30941,8,40-59
100,2022-05-31,34916,8,40-59
101,2022-06-30,24296,8,40-59
102,2022-07-31,5867,8,40-59
103,2022-08-31,1172,8,40-59
104,2022-09-30,517,8,40-59
105,2022-10-31,444,8,40-59
106,2022-11-30,429,8,40-59
107,2022-12-31,495,8,40-59
0,2014-01-31,158,9,60-64
1,2014-02-28,329,9,60-64
2,2014-03-31,446,9,60-64
3,2014-04-30,579,9,60-64
4,2014-05-31,340,9,60-64
5,2014-06-30,118,9,60-64
6,2014-07-31,31,9,60-64
7,2014-08-31,22,9,60-64
8,2014-09-30,21,9,60-64
9,2014-10-31,18,9,60-64
10,2014-11-30,21,9,60-64
11,2014-12-31,44,9,60-64
12,2015-01-31,197,9,60-64
13,2015-02-28,411,9,60-64
14,2015-03-31,1125,9,60-64
15,2015-04-30,2427,9,60-64
16,2015-05-31,1802,9,60-64
17,2015-06-30,464,9,60-64
18,2015-07-31,111,9,60-64
19,2015-08-31,38,9,60-64
20,2015-09-30,41,9,60-64
21,2015-10-31,49,9,60-64
22,2015-11-30,147,9,60-64
23,2015-12-31,483,9,60-64
24,2016-01-31,2380,9,60-64
25,2016-02-29,5529,9,60-64
26,2016-03-31,6172,9,60-64
27,2016-04-30,4704,9,60-64
28,2016-05-31,1368,9,60-64
29,2016-06-30,145,9,60-64
30,2016-07-31,44,9,60-64
31,2016-08-31,16,9,60-64
32,2016-09-30,12,9,60-64
33,2016-10-31,19,9,60-64
34,2016-11-30,36,9,60-64
35,2016-12-31,164,9,60-64
36,2017-01-31,173,9,60-64
37,2017-02-28,162,9,60-64
38,2017-03-31,203,9,60-64
39,2017-04-30,130,9,60-64
40,2017-05-31,96,9,60-64
41,2017-06-30,45,9,60-64
42,2017-07-31,16,9,60-64
43,2017-08-31,17,9,60-64
44,2017-09-30,14,9,60-64
45,2017-10-31,17,9,60-64
46,2017-11-30,19,9,60-64
47,2017-12-31,42,9,60-64
48,2018-01-31,61,9,60-64
49,2018-02-28,85,9,60-64
50,2018-03-31,171,9,60-64
51,2018-04-30,285,9,60-64
52,2018-05-31,153,9,60-64
53,2018-06-30,44,9,60-64
54,2018-07-31,15,9,60-64
55,2018-08-31,15,9,60-64
56,2018-09-30,14,9,60-64
57,2018-10-31,24,9,60-64
58,2018-11-30,48,9,60-64
59,2018-12-31,112,9,60-64
60,2019-01-31,689,9,60-64
61,2019-02-28,1309,9,60-64
62,2019-03-31,3145,9,60-64
63,2019-04-30,5595,9,60-64
64,2019-05-31,5782,9,60-64
65,2019-06-30,1468,9,60-64
66,2019-07-31,235,9,60-64
67,2019-08-31,49,9,60-64
68,2019-09-30,30,9,60-64
69,2019-10-31,25,9,60-64
70,2019-11-30,33,9,60-64
71,2019-12-31,82,9,60-64
72,2020-01-31,330,9,60-64
73,2020-02-29,546,9,60-64
74,2020-03-31,652,9,60-64
75,2020-04-30,719,9,60-64
76,2020-05-31,372,9,60-64
77,2020-06-30,126,9,60-64
78,2020-07-31,64,9,60-64
79,2020-08-31,63,9,60-64
80,2020-09-30,40,9,60-64
81,2020-10-31,39,9,60-64
82,2020-11-30,54,9,60-64
83,2020-12-31,71,9,60-64
84,2021-01-31,84,9,60-64
85,2021-02-28,108,9,60-64
86,2021-03-31,160,9,60-64
87,2021-04-30,162,9,60-64
88,2021-05-31,76,9,60-64
89,2021-06-30,31,9,60-64
90,2021-07-31,15,9,60-64
91,2021-08-31,17,9,60-64
92,2021-09-30,12,9,60-64
